# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 4 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-4447
# Timestamp: Wed, 05-Jun-2024 22:59:31
Gene ID	Gene Name	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'ca1, ca4 double mutant' .foldChange	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'ca1, ca4 double mutant'.pValue	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'wild type' .foldChange	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'wild type'.pValue	'ca1, ca4 double mutant' vs 'wild type' in '150 ppm carbon dioxide' .foldChange	'ca1, ca4 double mutant' vs 'wild type' in '150 ppm carbon dioxide'.pValue	'ca1, ca4 double mutant' vs 'wild type' in '500 ppm carbon dioxide' .foldChange	'ca1, ca4 double mutant' vs 'wild type' in '500 ppm carbon dioxide'.pValue
AT1G01520	AT1G01520			-0.2	0.862160758516003				
AT1G01540	AT1G01540	-0.2	0.999905277372085	-0.3	0.428259858954904				
AT1G01550	BPS1	0.2	0.999905277372085					0.2	0.999602131988726
AT1G01560	MPK11	0.7	0.621115110364591	0.2	0.830625190511163	0.1	0.999982111190236	0.4	0.874516616925679
AT1G01570	AT1G01570			-0.2	0.895206752547585			0.2	0.999602131988726
AT1G01580	FRO2	0.2	0.999905277372085	0.1	0.913293837365763			0.2	0.999602131988726
AT1G01590	FRO1	-0.2	0.999905277372085						
AT1G01600	CYP86A4	0.5	0.999905277372085	1.0	0.00940348137111671			-0.6	0.205768606030418
AT1G01610	GPAT4	-0.1	0.999905277372085	-0.1	0.848847712666043				
AT1G01620	PIP1-3	-0.3	0.999905277372085	-0.3	0.736940952366868			-0.1	0.999602131988726
AT1G01630	AT1G01630	-0.1	0.999905277372085	0.2	0.635770500890031	0.1	0.999982111190236	-0.2	0.999602131988726
AT1G01640	AT1G01640	-0.2	0.999905277372085	-0.4	0.565667375366636	-0.1	0.999982111190236	0.1	0.999602131988726
AT1G01650	SPPL4	0.2	0.999905277372085	-0.1	0.792779499009837	-0.2	0.999982111190236	0.1	0.999602131988726
AT1G01660	AT1G01660	-0.1	0.999905277372085	0.1	0.951579536153562			-0.2	0.999602131988726
AT1G01670	PUB56	-0.1	0.999905277372085	-0.1	0.957219598656152				
AT1G01680	PUB54			0.1	0.906351454069723	0.1	0.999982111190236		
AT1G01690	ATPRD3	-0.1	0.999905277372085	0.3	0.727517024335353			-0.4	0.424500323282824
AT1G01695	AT1G01695	-0.2	0.999905277372085	-0.2	0.809016051832999	-0.1	0.999982111190236		
AT1G01700	ATROPGEF2	-0.1	0.999905277372085	0.1	0.942215222398944	-0.1	0.999982111190236	-0.3	0.837001153942381
AT1G01710	AT1G01710	-0.1	0.999905277372085	-0.1	0.897901634880904				
AT1G01715	AT1G01715	-0.1	0.999905277372085					-0.2	0.999602131988726
AT1G01720	NAC002	-0.2	0.999905277372085	-0.5	0.26741711396366	0.1	0.999982111190236	0.6	0.368056637647813
AT1G01725	AT1G01725	0.1	0.999905277372085	-0.3	0.732608325055795	-0.2	0.999982111190236	0.1	0.999602131988726
AT1G01730	AT1G01730			-0.2	0.743178932362466			0.1	0.999602131988726
AT1G01740	BSK4	0.1	0.999905277372085	0.1	0.95555645850864				
AT1G01750	ADF11	0.1	0.999905277372085			-0.1	0.999982111190236	-0.1	0.999602131988726
AT1G01760	AT1G01760	-0.2	0.999905277372085					-0.1	0.999602131988726
AT1G01770	AT1G01770	-0.2	0.999905277372085	-0.4	0.380141498774211	-0.1	0.999982111190236	0.1	0.999602131988726
AT1G01780	PLIM2B	-0.3	0.999905277372085	-0.3	0.729584143712384				
AT1G01790	KEA1	-0.1	0.999905277372085	-0.1	0.958375123128957	0.1	0.999982111190236	0.1	0.999602131988726
AT1G01800	AT1G01800	0.1	0.999905277372085	-0.1	0.846900649176289			0.2	0.934306502638684
AT1G01810	AT1G01810	0.3	0.999905277372085	0.3	0.714229377036899				
AT1G01820	PEX11C			-0.2	0.812749671861817			0.2	0.999602131988726
AT1G01830	AT1G01830	-0.2	0.999905277372085					-0.1	0.999602131988726
AT1G01840	AT1G01840	-0.2	0.999905277372085						
AT1G01860	PFC1	-0.1	0.999905277372085	0.1	0.951787642426174			-0.2	0.999602131988726
AT1G01880	GEN1	-0.1	0.999905277372085	0.2	0.715213860756791	0.1	0.999982111190236	-0.2	0.944034260681236
AT1G01900	SBTI1.1	-0.2	0.999905277372085					-0.3	0.996575012605374
AT1G01910	AT1G01910	0.1	0.999905277372085	0.1	0.88805750579486			0.1	0.999602131988726
AT1G01920	AT1G01920	-0.2	0.999905277372085	-0.1	0.946091030951285			-0.2	0.999602131988726
AT1G01930	AT1G01930	-0.1	0.999905277372085			0.1	0.999982111190236		
AT1G01940	CYP18-1	0.1	0.999905277372085	0.3	0.689618712609478			-0.2	0.999602131988726
AT1G01960	BIG3	0.1	0.999905277372085	0.1	0.876746247645649				
AT1G01970	AT1G01970	-0.1	0.999905277372085	0.1	0.900615797484828	0.1	0.999982111190236	-0.1	0.999602131988726
AT1G01980	SEC1A	-0.2	0.999905277372085	0.2	0.772991023076684				
AT1G01990	AT1G01990			-0.1	0.868920907200756			0.1	0.999602131988726
AT1G02000	GAE2							0.1	0.999602131988726
AT1G02010	SEC1A	-0.3	0.999905277372085	-0.4	0.226666965586506	-0.1	0.999982111190236	0.1	0.999602131988726
AT1G02020	AT1G02020	-0.1	0.999905277372085	-0.1	0.958163843610861	0.1	0.999982111190236	0.1	0.999602131988726
AT1G02030	ZAT1					-0.1	0.999982111190236	-0.3	0.999602131988726
AT1G02050	PKSA	-0.2	0.999905277372085	-0.2	0.749585588525847				
AT1G02060	AT1G02060	-0.2	0.999905277372085	-0.1	0.847509412290456			-0.1	0.999602131988726
AT1G02065	SPL8	-0.1	0.999905277372085	0.4	0.646956088878539			-0.3	0.930852349491949
AT1G02070	AT1G02070			0.1	0.960110419591393				
AT1G02080	AT1G02080	-0.1	0.999905277372085	-0.1	0.881591757365254				
AT1G02090	CSN7	0.1	0.999905277372085	0.3	0.549391751743867	0.1	0.999982111190236	-0.1	0.999602131988726
AT1G02100	LCMT1	-0.1	0.999905277372085	-0.2	0.648805869066264			0.1	0.999602131988726
AT1G02110	AT1G02110	-0.2	0.999905277372085	-0.1	0.880342752316065			-0.1	0.999602131988726
AT1G02120	VAD1	-0.1	0.999905277372085	-0.3	0.466800030043041			0.2	0.487750684750749
AT1G02140	MEE63			0.1	0.766995378859601			-0.1	0.970697664441799
AT1G02145	ALG12	-0.2	0.999905277372085					-0.2	0.934306502638684
AT1G02150	AT1G02150			0.2	0.819208272002655	0.1	0.999982111190236	-0.1	0.999602131988726
AT1G02160	AT1G02160	-0.2	0.999905277372085	-0.1	0.916014130263939			-0.1	0.999602131988726
AT1G02170	AMC1	0.2	0.999905277372085	0.1	0.937639307637517	0.1	0.999982111190236	0.3	0.419845467429945
AT1G02180	AT1G02180			0.3	0.663820806723885			-0.3	0.839470952385726
AT1G02190	AT1G02190	-0.2	0.999905277372085					-0.4	0.934306502638684
AT1G02205	CER1	-0.3	0.999905277372085	0.4	0.532464013149037			-0.9	0.00104852572796528
AT1G02220	NAC003	0.8	0.0572055396756147					0.4	0.84350706564031
AT1G02230	NAC004	0.3	0.999905277372085	0.2	0.826206753615728				
AT1G02250	NAC005	0.2	0.999905277372085						
AT1G02260	AT1G02260	-0.3	0.999905277372085	-0.5	0.187433470191593	-0.1	0.999982111190236	0.1	0.999602131988726
AT1G02270	AT1G02270			0.1	0.922026998397339				
AT1G02280	TOC33	-0.1	0.999905277372085	0.3	0.527558075757932	0.1	0.999982111190236	-0.3	0.512530811912847
AT1G02290	AT1G02290	-0.1	0.999905277372085	0.1	0.954893669064688			-0.2	0.984664019783061
AT1G02300	CATHB1	-0.1	0.999905277372085	-0.4	0.60007369761983	-0.1	0.999982111190236	0.1	0.999602131988726
AT1G02305	CATHB2			-0.3	0.465905387249683	-0.1	0.999982111190236	0.2	0.785587189387708
AT1G02310	MAN1	-0.2	0.999905277372085						
AT1G02330	CSU2			0.2	0.676453790232565			-0.2	0.724719475124405
AT1G02335	GL22			-0.1	0.945670431687731	-0.2	0.999982111190236	-0.2	0.999602131988726
AT1G02340	HFR1			-0.6	0.356708839096309	-0.1	0.999982111190236	0.2	0.999602131988726
AT1G02350	AT1G02350	-0.2	0.999905277372085	-0.1	0.976674850093851			-0.2	0.999602131988726
AT1G02360	AT1G02360	0.6	0.672557948590299	0.3	0.786121203627035			0.3	0.979827089895548
AT1G02370	AT1G02370	0.1	0.999905277372085	0.4	0.340761359491457			-0.3	0.979381886959596
AT1G02380	AT1G02380	-0.3	0.999905277372085			-0.1	0.999982111190236	-0.3	0.735422626213616
AT1G02390	GPAT2	-0.7	0.519779107534652	-0.7	0.238848106676247				
AT1G02400	GA2OX6	1.0	0.0390333454913984			-0.2	0.999982111190236	0.5	0.692468418510576
AT1G02405	AT1G02405	0.1	0.999905277372085						
AT1G02410	COX11			0.1	0.942739091255776			-0.1	0.999602131988726
AT1G02420	AT1G02420	-0.1	0.999905277372085	0.1	0.970891911417048			-0.1	0.999602131988726
AT1G02430	ATARFD1B	-0.1	0.999905277372085	0.6	0.361175480873523	0.1	0.999982111190236	-0.4	0.894038087238505
AT1G02440	ATARFD1A	0.2	0.999905277372085	0.3	0.683595219529794	0.1	0.999982111190236	0.1	0.999602131988726
AT1G02450	NIMIN-1	-0.1	0.999905277372085	0.2	0.86139897762369	0.1	0.999982111190236	0.1	0.999602131988726
AT1G02460	AT1G02460	0.2	0.999905277372085	-0.1	0.948208947083651			0.2	0.999602131988726
AT1G02470	AT1G02470	0.1	0.999905277372085	-0.1	0.956706572779754			0.2	0.999602131988726
AT1G02475	AT1G02475					0.1	0.999982111190236	0.2	0.999602131988726
AT1G02490	AT1G02490			-0.2	0.8852345601937				
AT1G02500	SAM1	0.2	0.999905277372085					0.2	0.999602131988726
AT1G02520	ABCB11	-0.1	0.999905277372085	-0.5	0.400871710683876	0.1	0.999982111190236	0.5	0.764636218805982
AT1G02530	ABCB12	-0.1	0.999905277372085						
AT1G02560	CLPP5			0.2	0.763862581290802	0.1	0.999982111190236		
AT1G02575	AT1G02575	0.4	0.999905277372085						
AT1G02580	MEA	0.5	0.88799978026786						
AT1G02610	AT1G02610	0.1	0.999905277372085	-0.4	0.5819721676109			0.3	0.988187142755231
AT1G02620	AT1G02620			-0.7	0.208623725036977	-0.1	0.999982111190236	0.4	0.88940393579009
AT1G02640	BXL2			-0.1	0.947233551443202				
AT1G02650	AT1G02650	0.1	0.999905277372085	-0.2	0.880986862326889			0.3	0.999602131988726
AT1G02660	PLIP2	0.2	0.999905277372085	-0.3	0.767057827685447			0.3	0.946512896711465
AT1G02670	AT1G02670			0.4	0.490810948209296	0.1	0.999982111190236	-0.2	0.999602131988726
AT1G02680	TAF13	-0.1	0.999905277372085	-0.2	0.791273343763654	-0.1	0.999982111190236		
AT1G02690	IMPA-6	0.1	0.999905277372085	0.3	0.611936029313472			-0.3	0.490349859914036
AT1G02700	AT1G02700	-0.7	0.279078908113567	-0.9	0.0849910125104565			0.4	0.788937617882989
AT1G02705	AT1G02705	0.1	0.999905277372085	-0.1	0.963674706360493	-0.1	0.999982111190236	-0.2	0.999602131988726
AT1G02720	GATL5	-0.1	0.999905277372085	0.1	0.87511480957617			-0.2	0.999602131988726
AT1G02730	CSLD5			0.4	0.517115186302007			-0.5	0.00605888505748062
AT1G02740	MRG2	-0.1	0.999905277372085	0.1	0.932792168807668			-0.2	0.990334275518506
AT1G02750	DI19-2	-0.2	0.999905277372085	-0.1	0.903650730423258				
AT1G02770	AT1G02770	-0.3	0.999905277372085	-0.5	0.464476418347782			0.2	0.999602131988726
AT1G02780	RPL19A	0.1	0.999905277372085	0.4	0.408792928676709			-0.3	0.344946521857182
AT1G02800	CEL2	-0.1	0.999905277372085	0.4	0.624109240764575	0.1	0.999982111190236	-0.3	0.967387139229073
AT1G02810	PME7	0.1	0.999905277372085	-0.1	0.893836894285413	0.1	0.999982111190236	0.5	0.742262543203774
AT1G02816	AT1G02816			-0.2	0.876746247645649			0.2	0.999602131988726
AT1G02840	SR34	-0.1	0.999905277372085	-0.3	0.290628044183246	-0.2	0.999982111190236	0.1	0.999602131988726
AT1G02850	BGLU11			-0.7	0.198642080869914	0.1	0.999982111190236	1.0	0.0114282885967509
AT1G02860	BAH1	0.1	0.999905277372085	-0.2	0.808627435229244			0.2	0.999602131988726
AT1G02870	AT1G02870	0.1	0.999905277372085	0.3	0.495248810740761	-0.1	0.999982111190236	-0.3	0.734041961926883
AT1G02880	TPK1			-0.2	0.783784317725184	0.1	0.999982111190236	0.3	0.953694391985428
AT1G02890	AT1G02890			-0.1	0.754062021176379			0.1	0.986377875613773
AT1G02900	RALF1	0.4	0.999905277372085	0.1	0.962234698864755			0.1	0.999602131988726
AT1G02910	LPA1					0.1	0.999982111190236	0.1	0.999602131988726
AT1G02920	GSTF7	0.6	0.70020459250746					0.6	0.500499975583738
AT1G02930	GSTF6	0.9	0.179104650569798	0.3	0.763862581290802			0.5	0.719456714150377
AT1G02940	ATGSTF5	0.2	0.999905277372085					0.4	0.919107785188353
AT1G02950	ATGSTF4	-0.1	0.999905277372085	-0.2	0.870046698215794	-0.1	0.999982111190236	-0.1	0.999602131988726
AT1G02960	AT1G02960	-0.2	0.999905277372085	-0.3	0.551872032228656	-0.1	0.999982111190236		
AT1G02970	WEE1	0.1	0.999905277372085	0.4	0.43003494905989			-0.4	0.471881739303049
AT1G02990	AT1G02990	-0.1	0.999905277372085	-0.1	0.881164850695914				
AT1G03000	PEX6	-0.1	0.999905277372085	-0.1	0.922960535047377				
AT1G03010	AT1G03010	0.4	0.999905277372085	0.2	0.770978695164015				
AT1G03030	AT1G03030			0.1	0.958594624949497				
AT1G03040	AT1G03040			-0.1	0.938590481361659			0.1	0.999602131988726
AT1G03055	D27	-0.5	0.985584753969658	-0.2	0.732906708631568			-0.2	0.967387139229073
AT1G03060	SPI	-0.1	0.999905277372085			0.1	0.999982111190236		
AT1G03070	LFG4			-0.3	0.783784317725184			0.1	0.999602131988726
AT1G03090	MCCA	0.3	0.999905277372085	-0.4	0.668403063247581	-0.1	0.999982111190236		
AT1G03100	AT1G03100			0.4	0.61903382148901	0.1	0.999982111190236	-0.1	0.999602131988726
AT1G03106	AT1G03106	-0.7	0.633880985736929	-0.4	0.490780884939376			0.3	0.999602131988726
AT1G03110	TRM82			0.3	0.517115186302007			-0.4	0.0580973669604673
AT1G03120	ATRAB28	-0.6	0.782261781394603	-0.5	0.512573063928032	0.1	0.999982111190236	0.3	0.984664019783061
AT1G03130	PSAD2	-0.1	0.999905277372085	-0.1	0.967154014117394				
AT1G03140	AT1G03140			-0.1	0.882730089874027			0.1	0.999602131988726
AT1G03150	NAA20							-0.1	0.999602131988726
AT1G03160	FZL			0.1	0.939108561654192			-0.1	0.999602131988726
AT1G03165	AT1G03165	-0.1	0.999905277372085						
AT1G03170	FAF2	-0.2	0.999905277372085	-0.2	0.811962983003067	-0.1	0.999982111190236	-0.2	0.999602131988726
AT1G03180	AT1G03180	-0.1	0.999905277372085	0.2	0.858239951960809			-0.2	0.999602131988726
AT1G03190	XPD	-0.1	0.999905277372085					-0.1	0.999602131988726
AT1G03200	AT1G03200	-0.1	0.999905277372085	-0.3	0.77579849756879	-0.1	0.999982111190236		
AT1G03210	AT1G03210	0.3	0.999905277372085	-0.2	0.879577349156352			0.4	0.750813020908762
AT1G03220	AT1G03220	0.1	0.999905277372085	-0.2	0.727603532371912			0.5	0.355154771257961
AT1G03230	AT1G03230	0.1	0.999905277372085			0.1	0.999982111190236	0.2	0.996575012605374
AT1G03240	AT1G03240	-0.2	0.999905277372085						
AT1G03250	AT1G03250	0.1	0.999905277372085	0.2	0.807501529675396				
AT1G03260	AT1G03260			-0.1	0.900909074512507	-0.1	0.999982111190236		
AT1G03270	CBSDUF4	-0.2	0.999905277372085	0.1	0.959551340160885	0.1	0.999982111190236	-0.1	0.999602131988726
AT1G03280	AT1G03280	-0.1	0.999905277372085	-0.1	0.745642287435354				
AT1G03290	AT1G03290	0.1	0.999905277372085	-0.2	0.767910369411806			0.2	0.999602131988726
AT1G03310	ISA2			0.3	0.765583573862096			-0.1	0.999602131988726
AT1G03320	AT1G03320	-0.1	0.999905277372085	0.2	0.837594758808472			-0.1	0.999602131988726
AT1G03330	LSM2	0.1	0.999905277372085	0.2	0.668403063247581			-0.1	0.926730420103802
AT1G03340	AT1G03340	-0.2	0.999905277372085	-0.1	0.973670328068452	-0.1	0.999982111190236	-0.2	0.999602131988726
AT1G03350	AT1G03350	0.1	0.999905277372085	0.1	0.779485322651958			-0.1	0.999602131988726
AT1G03360	RRP4	0.1	0.999905277372085	0.5	0.107076197509887			-0.3	0.82771931863331
AT1G03370	AT1G03370	0.3	0.999905277372085					0.3	0.967387139229073
AT1G03380	ATG18G	-0.1	0.999905277372085	-0.4	0.0758433197244881	-0.1	0.999982111190236	0.2	0.956407159955394
AT1G03400	AT1G03400			-0.2	0.744506624125641			0.2	0.999602131988726
AT1G03410	2A6	-0.3	0.999905277372085	-0.4	0.63477597068166			0.1	0.999602131988726
AT1G03430	AHP5	-0.1	0.999905277372085	-0.2	0.805392403386531				
AT1G03440	AT1G03440	-0.2	0.999905277372085	-0.2	0.734204198849293				
AT1G03445	BSU1	0.1	0.999905277372085	0.1	0.913234345562211	0.1	0.999982111190236	0.2	0.999602131988726
AT1G03457	AT1G03457			-0.1	0.841078847632235	-0.1	0.999982111190236		
AT1G03470	NET3A	-0.1	0.999905277372085	-0.2	0.560653323826201	-0.1	0.999982111190236		
AT1G03475	CPX1	0.2	0.999905277372085	0.4	0.44983572670487	0.1	0.999982111190236	-0.1	0.999602131988726
AT1G03495	AT1G03495			-0.2	0.82655178615111			0.2	0.999602131988726
AT1G03506	AT1G03506			-0.1	0.920102629023425				
AT1G03510	PCMP-E3	-0.2	0.999905277372085	0.1	0.975190343157888			-0.2	0.999602131988726
AT1G03520	AT1G03520	-0.1	0.999905277372085	-0.3	0.432183599274823	-0.1	0.999982111190236	0.1	0.999602131988726
AT1G03530	ATNAF1			0.3	0.665051696967472			-0.3	0.880069491907271
AT1G03540	PCMP-E4	-0.2	0.999905277372085	0.2	0.88805750579486			-0.2	0.999602131988726
AT1G03545	AT1G03545			0.1	0.908792104338071			-0.1	0.999602131988726
AT1G03550	SCAMP2	-0.3	0.999905277372085	-0.3	0.714414438272804			0.1	0.999602131988726
AT1G03560	AT1G03560			0.2	0.788626404978982	0.1	0.999982111190236		
AT1G03590	PPC6-6	0.2	0.999905277372085	-0.2	0.791273343763654			0.3	0.970697664441799
AT1G03600	PSB27-1	-0.2	0.999905277372085	-0.1	0.855608707588966	0.1	0.999982111190236	0.1	0.999602131988726
AT1G03610	AT1G03610			-0.4	0.52117553143087			0.3	0.999602131988726
AT1G03620	AT1G03620	0.4	0.999905277372085	-0.2	0.901886021874911	-0.1	0.999982111190236	0.2	0.999602131988726
AT1G03630	PORC			0.3	0.745008737904239	0.1	0.999982111190236	-0.1	0.999602131988726
AT1G03650	AT1G03650	0.2	0.999905277372085			-0.1	0.999982111190236		
AT1G03660	AT1G03660			-0.1	0.957874133543353			0.1	0.999602131988726
AT1G03670	AT1G03670	-0.2	0.999905277372085	-0.2	0.738919133293793				
AT1G03680	ATHM1			0.1	0.963144355079548	0.1	0.999982111190236		
AT1G03687	AT1G03687			0.2	0.779684901472543			-0.1	0.999602131988726
AT1G03700	AT1G03700	0.2	0.999905277372085						
AT1G03710	AT1G03710	0.3	0.999905277372085					0.2	0.999602131988726
AT1G03730	AT1G03730	0.2	0.999905277372085	-0.1	0.920819506692628			0.3	0.977332805612177
AT1G03740	AT1G03740	0.5	0.433859779083508					0.5	0.310053694640679
AT1G03750	SWI2			-0.2	0.749806750601439			0.2	0.999602131988726
AT1G03760	AT1G03760							-0.1	0.999602131988726
AT1G03770	RING1B			0.1	0.960110419591393			-0.1	0.999602131988726
AT1G03780	TPX2	-0.1	0.999905277372085	0.4	0.527252314206227			-0.6	0.00119445989727
AT1G03790	SOM	-0.8	0.434722688667596	-0.7	0.126766020654336			0.4	0.840424885357893
AT1G03800	ERF10			0.1	0.967154014117394	0.1	0.999982111190236	0.2	0.999602131988726
AT1G03820	AT1G03820	0.2	0.999905277372085	0.3	0.767056653514328				
AT1G03830	AT1G03830	-0.2	0.999905277372085			-0.1	0.999982111190236	-0.3	0.837001153942381
AT1G03840	MGP	-0.1	0.999905277372085	0.2	0.77203730633822			-0.2	0.999602131988726
AT1G03850	AT1G03850	0.4	0.999905277372085			0.1	0.999982111190236	0.4	0.905032000584545
AT1G03860	PHB2	0.2	0.999905277372085	0.4	0.195658955365979			-0.2	0.999602131988726
AT1G03870	FLA9	0.3	0.999905277372085	0.2	0.821409956873315			-0.1	0.999602131988726
AT1G03880	CRB	-1.4	9.77281751600157E-4	-0.6	0.181474208695349	0.1	0.999982111190236		
AT1G03890	CRD	-0.3	0.999905277372085						
AT1G03900	ATNAP4			-0.1	0.954411969344773			0.1	0.999602131988726
AT1G03905	ABCI19	0.2	0.999905277372085					0.2	0.999602131988726
AT1G03910	CTN	-0.1	0.999905277372085	-0.1	0.894498168555192			-0.1	0.999602131988726
AT1G03920	AT1G03920	-0.1	0.999905277372085	-0.1	0.928938506799666				
AT1G03930	CKL9	-0.1	0.999905277372085	-0.1	0.689618712609478	0.1	0.999982111190236	0.1	0.999602131988726
AT1G03935	AT1G03935	-0.2	0.999905277372085	-0.1	0.91248652973371				
AT1G03940	3AT1	-0.2	0.999905277372085	-0.2	0.873435219465942			0.1	0.999602131988726
AT1G03950	VPS2.3							0.2	0.999602131988726
AT1G03960	B''EPSILON	-0.2	0.999905277372085	-0.2	0.796465377352885			-0.1	0.999602131988726
AT1G03970	GBF4	-0.2	0.999905277372085	-0.3	0.273487913732265			0.1	0.999602131988726
AT1G03980	ATPCS2			0.3	0.796643944553444			-0.3	0.934306502638684
AT1G03987	AT1G03987	-0.1	0.999905277372085	-0.2	0.851355678870428				
AT1G03990	FAO1	-0.2	0.999905277372085	-0.4	0.507743480247051	-0.1	0.999982111190236		
AT1G04000	AT1G04000	-0.2	0.999905277372085	-0.1	0.818394138068456	0.1	0.999982111190236	0.1	0.999602131988726
AT1G04007	AT1G04007	-0.3	0.999905277372085	-0.2	0.865639667856964	-0.1	0.999982111190236	-0.3	0.999602131988726
AT1G04010	PSAT	-0.1	0.999905277372085	-0.1	0.931609101350341				
AT1G04013	AT1G04013	-0.2	0.999905277372085					-0.2	0.999602131988726
